MovieID,Title,NumRatings
2858,American Beauty (1999),3428
260,Star Wars: Episode IV - A New Hope (1977),2991
1196,Star Wars: Episode V - The Empire Strikes Back (1980),2990
1210,Star Wars: Episode VI - Return of the Jedi (1983),2883
480,Jurassic Park (1993),2672
2028,Saving Private Ryan (1998),2653
589,Terminator 2: Judgment Day (1991),2649
2571,"Matrix, The (1999)",2590
1270,Back to the Future (1985),2583
593,"Silence of the Lambs, The (1991)",2578
1580,Men in Black (1997),2538
1198,Raiders of the Lost Ark (1981),2514
608,Fargo (1996),2513
2762,"Sixth Sense, The (1999)",2459
110,Braveheart (1995),2443
2396,Shakespeare in Love (1998),2369
1197,"Princess Bride, The (1987)",2318
527,Schindler's List (1993),2304
1617,L.A. Confidential (1997),2288
1265,Groundhog Day (1993),2278
1097,E.T. the Extra-Terrestrial (1982),2269
2628,Star Wars: Episode I - The Phantom Menace (1999),2250
2997,Being John Malkovich (1999),2241
318,"Shawshank Redemption, The (1994)",2227
858,"Godfather, The (1972)",2223
356,Forrest Gump (1994),2194
2716,Ghostbusters (1984),2181
296,Pulp Fiction (1994),2171
1240,"Terminator, The (1984)",2098
1,Toy Story (1995),2077
1214,Alien (1979),2024
2916,Total Recall (1990),1996
457,"Fugitive, The (1993)",1995
3578,Gladiator (2000),1924
1200,Aliens (1986),1820
541,Blade Runner (1982),1800
2987,Who Framed Roger Rabbit? (1988),1799
1259,Stand by Me (1986),1785
50,"Usual Suspects, The (1995)",1783
34,Babe (1995),1751
2791,Airplane! (1980),1731
780,Independence Day (ID4) (1996),1730
3175,Galaxy Quest (1999),1728
1193,One Flew Over the Cuckoo's Nest (1975),1725
919,"Wizard of Oz, The (1939)",1718
924,2001: A Space Odyssey (1968),1716
1127,"Abyss, The (1989)",1715
2355,"Bug's Life, A (1998)",1703
1387,Jaws (1975),1697
1221,"Godfather: Part II, The (1974)",1692
912,Casablanca (1942),1669
1036,Die Hard (1988),1666
1213,GoodFellas (1990),1657
1610,"Hunt for Red October, The (1990)",1652
377,Speed (1994),1650
1291,Indiana Jones and the Last Crusade (1989),1628
2000,Lethal Weapon (1987),1627
1136,Monty Python and the Holy Grail (1974),1599
3114,Toy Story 2 (1999),1585
1307,When Harry Met Sally... (1989),1568
1704,Good Will Hunting (1997),1548
1721,Titanic (1997),1546
1968,"Breakfast Club, The (1985)",1539
648,Mission: Impossible (1996),1527
2599,Election (1999),1522
3793,X-Men (2000),1511
32,Twelve Monkeys (1995),1511
2174,Beetlejuice (1988),1495
2797,Big (1988),1491
2918,Ferris Bueller's Day Off (1986),1473
2291,Edward Scissorhands (1990),1473
590,Dances with Wolves (1990),1451
2959,Fight Club (1999),1451
3471,Close Encounters of the Third Kind (1977),1451
1374,Star Trek: The Wrath of Khan (1982),1448
2683,Austin Powers: The Spy Who Shagged Me (1999),1434
1394,Raising Arizona (1987),1434
592,Batman (1989),1431
1784,As Good As It Gets (1997),1424
1573,Face/Off (1997),1421
1304,Butch Cassidy and the Sundance Kid (1969),1419
3418,Thelma & Louise (1991),1417
223,Clerks (1994),1412
380,True Lies (1994),1400
2706,American Pie (1999),1389
1225,Amadeus (1984),1382
1584,Contact (1997),1382
1527,"Fifth Element, The (1997)",1377
3481,High Fidelity (2000),1373
1923,There's Something About Mary (1998),1371
750,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963),1367
2699,Arachnophobia (1990),1367
39,Clueless (1995),1362
21,Get Shorty (1995),1356
1393,Jerry Maguire (1996),1353
2804,"Christmas Story, A (1983)",1352
588,Aladdin (1992),1351
2406,Romancing the Stone (1984),1345
1220,"Blues Brothers, The (1980)",1341
733,"Rock, The (1996)",1340
1230,Annie Hall (1977),1334
3176,"Talented Mr. Ripley, The (1999)",1331
1961,Rain Man (1988),1330
3751,Chicken Run (2000),1329
1079,"Fish Called Wanda, A (1988)",1326
908,North by Northwest (1959),1315
