m1302,m2719,m88,m1811,m1666,m2605,m3566,m2447,m2522,m3841,m2727,m3019,m1053,m1562,m2333,m3711,m61,m3301,m2925,m961,m2400,m2466,m1215,m1361,m3715,m981,m3639,m493,m1262,m3436,m660,m2749,m697,m898,m2146,m1164,m3265,m3165,m452,m3026,m3569,m494,m2312,m3337,m1610,m466,m3832,m287,m31,m736,m1256,m2358,m3699,m1234,m1245,m3712,m1772,m1289,m2376,m1152,m2791,m2395,m1019,m1643,m3408,m3117,m2862,m2670,m359,m2756,m2541,m3123,m3397,m174,m3853,m261,m131,m1411,m2437,m3847,m3911,m2363,m1636,m2359,m3287,m2576,m218,m2114,m3851,m1408,m2344,m2586,m3268,m3317,m2947,m13,m591,m2607,m1470,m2202,m204,m1216,m3722,m766,m3768,m2795,m2722,m3547,m1275,m173,m420,m2097,m1426,m1859,m1377,m1885,m3519,m944,m2464,m2286,m729,m2280,m3735,m340,m3790,m366,m950,m2628,m2103,m584,m24,m3784,m594,m3766,m2532,m415,m1476,m3482,m1230,m3933,m1563,m2477,m3891,m3820,m1894,m2786,m1372,m30,m3092,m48,m2325,m2658,m1120,m3186,m3441,m3890,m1442,m2115,m3152,m3252,m2252,m478,m1496,m2644,m84,m1190,m2512,m3945,m3852,m642,m2877,m865,m2833,m1409,m790,m2343,m3418,m3514,m176,m2742,m2200,m3143,m524,m57,m1043,m313,m3723,m2708,m2596,m2000,m2797,m2921,m394,m1722,m2001,m1686,m3502,m813,m900,m1276,m3616,m1966,m674,m2963,m2701,m454,m759,m3688,m2743,m2436,m180,m3014,m2294,m3459,m1797,m3798,m2442,m3505,m1629,m771,m1123,m298,m2681,m730,m1943,m528,m320,m3115,m236,m2378,m2107,m2592,m1925,m2801,m1086,m2205,m3434,m3419,m2540,m1693,m3167,m2517,m2530,m1648,m2390,m486,m3036,m2836,m210,m2183,m2825,m1518,m3423,m1653,m3300,m1169,m2379,m2597,m3083,m3178,m706,m715,m2857,m2007,m3731,m1657,m181,m3342,m798,m3552,m2389,m3657,m2754,m2413,m2140,m1887,m2054,m2293,m2307,m3781,m1650,m530,m3511,m1680,m2038,m947,m2640,m2724,m1162,m3795,m2037,m2129,m2718,m1315,m2883,m379,m2012,m2668,m1370,m3352,m3451,m3859,m3780,m1128,m649,m3507,m3887,m33,m3302,m3476,m2634,m3938,m2125,m3882,m3270,m809,m3303,m3567,m2433,m3433,m3915,m1654,m1218,m2419,m701,m1355,m717,m2381,m2429,m974,m3363,m2366,m453,m2181,m2119,m2093,m1150,m2715,m1056,m1755,m2804,m3758,m381,m2961,m2351,m2650,m1041,m874,m2217,m2533,m1223,m3214,m1246,m1379,m79,m1886,m354,m3099,m465,m402,m1366,m2086,m1899,m3534,m665,m2911,m1050,m1181,m1895,m2739
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,4.0,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,4.0
,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,
5.0,,,,3.0,,,,,5.0,,,,5.0,,,,,,,,,5.0,,,,,3.0,,,,,,,5.0,,,,,,,5.0,,,5.0,4.0,,,4.0,4.0,,,,5.0,,,,,4.0,,5.0,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,3.0,,,,,5.0,,,5.0,4.0,4.0,,,,3.0,,,,,,,,,,,4.0,,4.0,,,,,5.0,,,,5.0,,,,,,,,4.0,,,,,,,,5.0,,,,,5.0,,,,,,4.0,,,,,,,,,,5.0,,,3.0,,,,,,,,,,,,,5.0,4.0,4.0,,5.0,5.0,,,,,5.0,,,,,,4.0,,4.0,,,,,,,,,,5.0,,,,,,,,,,,,5.0,,,,,,,,,,,,4.0,,3.0,,,,,4.0,,,,,,,,4.0,,,,,,,,,,,,,5.0,,,,4.0,5.0,,3.0,,,,,,,,,,4.0,,,,,,,,,4.0,4.0,3.0,5.0,,,,,,,5.0,,,,,,,,,,4.0,,,,,,,,,,,,4.0,,,,3.0,,,4.0,,,,,,5.0,,3.0,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,3.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,3.0,,,,,,,,,4.0,,4.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,3.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,2.0,,5.0,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,2.0,,,,4.0,,,,2.0,,,,3.0,,,,3.0,,,,,,,,,3.0,1.0,4.0,,,,,,,,,,,,,4.0,,,5.0,3.0,,,,4.0,3.0,,,4.0,,,,3.0,3.0,,,,,,,,,4.0,,3.0,,,,,,,,,,,,4.0,,,,,,,,4.0,3.0,,1.0,,4.0,,,,,4.0,3.0,,,,2.0,,,,2.0,3.0,3.0,,,,3.0,,3.0,,,,,,4.0,,,,,2.0,,,,,,3.0,3.0,,,,,,,,,,,,3.0,,,,,,,,3.0,,,3.0,,,,,,,,,,,,,,,,,,,4.0,,,,,3.0,,,,,,,,4.0,,4.0,,4.0,4.0,4.0,,,,5.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,1.0,,,,,,3.0,,,,,,2.0,,,5.0,,,4.0,,,,,4.0,,,,,,,,,3.0,,3.0,,,,,,,,4.0,2.0,,,,,,,3.0,,,,,,,,,,3.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,3.0,,,,3.0,,,,,3.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1.0,,,2.0,,4.0,,,,,,5.0,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,4.0,,,3.0,,,,,,,,,,,,,5.0,,,4.0,,,,,,,4.0,,,,,,5.0,,,,5.0,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,3.0,,,3.0,1.0,5.0,,,1.0,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,,,,3.0,,3.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,4.0,,,,3.0,,,,,,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,1.0,,5.0,,,,,,,,,,,,,,,3.0,,,3.0,4.0,,,,,,,4.0,,,,,,,,,,4.0,,,,,,,,,3.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,3.0,
